userapproleid,workappid,workappname,workappcategoryid,userid,typeofworkname,userroleid,permissionlevelid,permissionlevelisprivileged
81d6ba40-0e01-4d17-b792-41d3544464ef,daff9d1b-7e98-4d91-9219-ec40ad4b3775,ChatGPT,9,64102f7e-5741-433f-a3c7-1e41366943b5,ITAndOrganization,1,,
37f6c097-8609-4aa3-b327-a4598bc6cd43,e907a698-b151-4282-8c66-1e679a96f5f2,Mailjet,12,d0d23ea2-3b44-4e8b-86f5-9926532c0e56,SoftwareDevelopment,1,,
a1b31462-bf87-4a38-a518-481c7a5f06d8,e907a698-b151-4282-8c66-1e679a96f5f2,Mailjet,12,64102f7e-5741-433f-a3c7-1e41366943b5,ITAndOrganization,1,,
d618363a-def0-453f-a2f9-119145a38049,25406b53-dc8a-42a5-b864-5bf528a4efce,Personio,10,bc4c9b87-af39-4ecc-a9aa-8a8402d5a29d,Other,1,68a91472-05c0-46dd-8fa9-85ffefc31220,False
801b7c06-e152-4344-9c62-b06137e6e3a0,e907a698-b151-4282-8c66-1e679a96f5f2,Mailjet,12,5e07d690-586a-49ce-9c1d-d37ebecf726e,Design,1,,
058e2f60-831b-48ee-95b6-fd38c871865b,0dfce50e-fde9-4ad8-b461-90d777b03b20,Confluence,9,4d7c5b08-1ced-44a4-87f0-c19237e8648e,Other,1,,
be831f58-6eff-41e1-8340-b98b625f2632,4ffa985d-fc96-405d-9842-46ad020818b0,Jira Software,9,240cdcdb-0fb9-4bac-8dc3-d881ae45972c,Other,1,,
a5c48762-5263-4304-831e-02e5381529b4,d924013a-0554-425d-872d-fc0973c6a732,Looker,7,cb1f3e5b-79fe-411a-a44a-794efc0492b2,Other,1,,
857bdf01-e405-4d4c-bdcc-c5374190c549,25366964-23e0-47d1-9b3b-a0786eedf28e,GitHub,2,7925f5cf-17d5-4dd0-9988-bc197b5e60e5,Other,1,,
f530fdb7-1023-4082-b36a-6f806a975f35,25406b53-dc8a-42a5-b864-5bf528a4efce,Personio,10,dbc120c4-8a9e-4b3d-8d4d-44b94c08d7e8,Sales,1,68a91472-05c0-46dd-8fa9-85ffefc31220,False
df371cdd-98f5-4e4c-9881-e22707186621,6eecbf80-b3e7-4035-8e9f-e657c609d4ed,1Password,5,c6835e86-4d66-438d-879b-4ee4f311cad3,Other,1,,
c4046f88-d4c9-4f3e-bf75-26ee92c0d498,753d7586-4d85-4280-b26a-8f181d4c01d7,Chargebee,11,890c31a6-7dd0-4402-8012-5a3c076f39d0,ServiceAndSupport,1,,
e6da587c-ebe1-4545-99e7-de48612f89dd,0a42117d-03f3-413c-9a0c-c7265e64605e,Bird Eats Bug,2,15f37e29-d8f6-465e-a6ce-9511d2dca32e,Other,1,,
2d5c1006-6bd6-4295-80a2-1966686a7cad,9682214e-f7da-4957-bf04-19cecc8bbf18,Miro,9,f6fe0208-e891-497e-b62b-24a964fa4e6d,Other,1,,
77375156-5d58-4e00-bb1d-1cf7eb832aa6,6eecbf80-b3e7-4035-8e9f-e657c609d4ed,1Password,5,7d3503cb-c277-4cbb-95d4-b75b8e29dc23,Other,1,,
d9c6feb9-210a-4e9d-88e0-0849c419f2a9,5ad3f318-7e03-4c77-8bba-161fbed7d19f,Google Analytics,7,a971c58a-89cb-4ef5-a7ed-e90168344abb,Administration,2,,
62464e03-926c-435b-8884-559a559d5b86,6a934c67-3e88-4602-9c69-c3ff52e0afb6,Grain,9,5e0aeb86-0e79-4849-9f9e-69a430b61d3f,Other,1,5f96c28c-e899-43ce-9f13-8834c55edaf5,False
4f83c741-7988-462d-a003-be7883bf9849,05ad2fdc-24dc-45b1-8be7-e5570ddd92c3,BeFunky,6,90019780-2b38-4159-8876-515cc1174eb4,Other,1,,
6f248c61-96e4-475e-ab03-5833d5d1048c,6287097d-c79b-4330-9fce-83a627da6f5d,Bitrix24,9,106c9ca5-2577-4296-9c20-627794a00c37,Other,1,,
d46e7b50-ed34-4084-b926-6e2250dd032d,c3e8725d-f65e-4b37-a083-54de8020193b,Similarweb,7,adfad123-7082-475f-b4ae-87d6138b7e98,Other,1,,
10ce61f8-4c09-4fd9-9aa6-f92e8b558ce1,136c1f73-aa1c-4611-be2c-04908f601dea,Stitch,7,cb1f3e5b-79fe-411a-a44a-794efc0492b2,Other,1,,
8ddc9123-58c6-4ada-9872-c93ce0c1ba2b,936a6328-2eae-4883-90f3-b08653640d42,ClickUp,9,ac05cd76-0d2e-40ad-a68f-536f6d42be5d,Other,1,,
d4a81831-c657-4957-a868-0d545c721206,25406b53-dc8a-42a5-b864-5bf528a4efce,Personio,10,deb3d94e-a06f-4cb5-90fc-66205ec6a8cd,Other,1,68a91472-05c0-46dd-8fa9-85ffefc31220,False
0662eaf0-3733-4e48-bfe8-c200b3b271b1,d924013a-0554-425d-872d-fc0973c6a732,Looker,7,5e8f2b22-e128-4269-893d-971ddc623038,Other,1,,
647b115c-8208-46c4-8a73-e517e4c14600,d924013a-0554-425d-872d-fc0973c6a732,Looker,7,a200c8da-724c-4fe5-be84-89d7ecaa0ce3,Other,1,,
c2890486-e8d6-4637-86d3-63d790f4ca2d,d924013a-0554-425d-872d-fc0973c6a732,Looker,7,e549f806-aecd-4347-93e3-3f217bb5d9f7,Other,1,,
f8ab0d8b-6a1e-4e2a-b31d-718cd79bc027,d924013a-0554-425d-872d-fc0973c6a732,Looker,7,c68bc2fd-cef7-42d2-9f75-7e0bfba57dc6,BusinessDevelopment,1,,
03c69074-a605-4ce9-8ffb-ce6fe8dcaede,4ffa985d-fc96-405d-9842-46ad020818b0,Jira Software,9,90019780-2b38-4159-8876-515cc1174eb4,Other,1,,
d8028430-8e02-4167-ad00-21e233e341e6,25406b53-dc8a-42a5-b864-5bf528a4efce,Personio,10,6224a41c-fcb8-4c8d-bde6-faddbb5682cb,Design,1,68a91472-05c0-46dd-8fa9-85ffefc31220,False
4231d689-2684-4378-9a6d-d19bc75c10d3,935b2a47-fa53-4eb4-9d42-51b1c8341c46,LinkedIn,10,adfad123-7082-475f-b4ae-87d6138b7e98,Other,1,,
bb9f11a9-0375-4408-afb4-04e415730ac6,873b0566-1c75-4ccd-8ec4-1a0f26acfe90,CircleCI,2,dd1a21b7-5bd6-4837-a476-c67937c7fd7d,Other,1,,
760762ff-1ef7-4581-8e0d-097b28c2205d,6a934c67-3e88-4602-9c69-c3ff52e0afb6,Grain,9,68be0762-db03-4de1-a241-e0c1e149610e,Other,1,,
8e0caff3-48cc-470d-8c57-04ad2edcc530,7b900372-e3e1-435e-be81-d5c256ef7a98,Amplitude,7,c6835e86-4d66-438d-879b-4ee4f311cad3,Other,1,,
6378dc42-cc10-4104-89a7-8021463e22aa,936a6328-2eae-4883-90f3-b08653640d42,ClickUp,9,7914fa7c-dfff-4477-aba6-b2b92adfd1d1,Other,1,,
7b080399-2f2b-4e42-9ed7-f1a7bcf5e3a5,4ffa985d-fc96-405d-9842-46ad020818b0,Jira Software,9,0e58cf28-dc3e-4099-95da-e68422031724,ITAndOrganization,1,,
adb39eaa-8d81-4540-9908-9d5e8e436685,a4dd8cbf-b7d5-4505-87cb-4f5f1cacd22d,LinkedIn Campaign Manager,12,7914fa7c-dfff-4477-aba6-b2b92adfd1d1,Other,1,,
48db5f7d-f210-4921-bdc7-2ea37221055e,606f2ae5-5b0c-42f9-bf01-81fcfc376ba4,Loom,15,7559529e-8054-4a25-b72c-0a4c32bf4ae4,Other,1,,
779b1eef-f014-4c22-a199-13172ba480a4,c453eb3b-a4ef-4a35-894f-3e41558e1f83,Twilio,2,d0d23ea2-3b44-4e8b-86f5-9926532c0e56,SoftwareDevelopment,1,,
cdbb7297-1410-46d6-a9aa-eba236cf2231,936a6328-2eae-4883-90f3-b08653640d42,ClickUp,9,a5bd7b19-f493-4673-b905-9db7338cbc7d,Other,1,,
200397ad-2a65-4b18-a71f-9a1fda8e54ef,a396caea-1d6a-42c3-b28f-fa510cf419b6,Elastic Cloud,8,e499cb7f-827c-4204-b299-b92d25791bc1,Other,1,,
76434331-a1c2-4aa9-819e-66a8ddb7136d,bc4de573-aac4-4bcf-805a-f2b2334d6f6e,Lano,10,73fff436-94c4-49b9-8c4c-9b61ba298cba,Administration,3,,
a162387d-5079-497a-bf39-dc8ab7b71c90,25366964-23e0-47d1-9b3b-a0786eedf28e,GitHub,2,4d7c5b08-1ced-44a4-87f0-c19237e8648e,Other,1,,
6286e614-090a-46ae-a50e-3bbe94c3fcf9,1a75af82-cbd2-4079-9566-bab3f41dfd28,StatusPage,2,4d7c5b08-1ced-44a4-87f0-c19237e8648e,Other,1,,
1960d77c-84db-419f-ac84-c04bb284d4ad,25366964-23e0-47d1-9b3b-a0786eedf28e,GitHub,2,240cdcdb-0fb9-4bac-8dc3-d881ae45972c,Other,1,,
3b7c0ebb-a090-46a3-bf9c-f47763db8dfe,d924013a-0554-425d-872d-fc0973c6a732,Looker,7,ca6b2b0e-2f20-4b0f-9dbb-5c900851b632,ProductManagement,3,,
c330a317-440e-44d4-83b5-e5168b96d27d,91c54713-afe0-448d-8de5-64b699682191,Amie,9,ca6b2b0e-2f20-4b0f-9dbb-5c900851b632,ProductManagement,3,,
58b3c4ec-4c31-480a-9248-fe400a7c14d0,4ffa985d-fc96-405d-9842-46ad020818b0,Jira Software,9,07746f62-750a-467a-9b1a-373c3708e8fa,SoftwareDevelopment,1,,
6dbfbb6d-c403-4367-a8af-d6d4f32c8be7,e7a1ed80-fb11-4f4e-8a19-06d66e86063b,Riverside.fm,13,dbc120c4-8a9e-4b3d-8d4d-44b94c08d7e8,Sales,1,635ca3df-5587-40e5-be8a-7f4099638fd1,False
283e46ab-b31e-4a31-8455-34a022bfb6cf,9682214e-f7da-4957-bf04-19cecc8bbf18,Miro,9,890c31a6-7dd0-4402-8012-5a3c076f39d0,ServiceAndSupport,1,,
0a60c277-f721-4995-a8c9-5d4b6cd29643,6eecbf80-b3e7-4035-8e9f-e657c609d4ed,1Password,5,25d26a43-a2be-4cae-8749-2026342a23e4,Other,1,,
75146e9b-0950-434c-8c9d-6dc834770c23,9256411b-cba5-4546-9ddb-f8f05a03db2a,Slack,15,7925f5cf-17d5-4dd0-9988-bc197b5e60e5,Other,1,,
f9a70db5-c26e-4944-8963-c1b5fe56d610,873b0566-1c75-4ccd-8ec4-1a0f26acfe90,CircleCI,2,5e07d690-586a-49ce-9c1d-d37ebecf726e,Design,1,,
add45ce3-1af9-4686-9390-7e5b3ae38fcc,b21c8e4c-596a-4dd4-bb41-faeb55816d92,Notion,9,8ed0f119-959b-4b7e-98e6-e0dce7a6b1ca,Other,1,aa581817-9f42-4e28-94f2-282ae07aee0c,False
277d4195-01f4-41fc-a73e-79bd0316ddf8,936a6328-2eae-4883-90f3-b08653640d42,ClickUp,9,bcfb2c7b-f471-4564-8d15-db40c73752d4,BusinessDevelopment,1,,
0ea6e36d-a7cc-4ad6-b736-00aa469be76a,40355bd2-f46d-46a5-ac33-dfdc379636a4,Apollo,4,263dc271-8906-48e4-bd6b-2347ff78cf74,Sales,1,,
7ceecf3b-2156-4426-a8b2-99909074b27d,f206b019-6641-4d1a-bfda-4ed64d3217cf,ConvertFlow,14,a878a105-7a66-46f8-8ccc-f1efd2697a6b,Other,1,,
626040cb-bcdd-4bd4-ad7c-c61ceec74c5b,daff9d1b-7e98-4d91-9219-ec40ad4b3775,ChatGPT,9,d0d23ea2-3b44-4e8b-86f5-9926532c0e56,SoftwareDevelopment,1,,
26c9ff2b-7c29-4a91-a470-49c2504dc826,d924013a-0554-425d-872d-fc0973c6a732,Looker,7,8cb14ef1-5434-4e55-a75d-a269d9a8128d,SoftwareDevelopment,1,,
48527aca-1b3b-4a2b-a099-f7ee86fbd444,a396caea-1d6a-42c3-b28f-fa510cf419b6,Elastic Cloud,8,3419fd3b-ff30-42cf-b382-8bdc69831017,Other,1,,
7b07c20a-48e5-4e4b-ba89-bcb3cff8d033,a396caea-1d6a-42c3-b28f-fa510cf419b6,Elastic Cloud,8,6e08e18b-1787-42bd-a860-fd3cb696f110,ITAndOrganization,1,,
6a41bcab-ea7a-4a2b-b350-be71728fae27,04c073f8-2437-47a7-866d-a80a957de3b3,Zoom,15,a200c8da-724c-4fe5-be84-89d7ecaa0ce3,Other,1,961a927e-fe39-47d8-bc23-a7be508f7f55,False
2fcb78dd-e47c-4bb6-b82f-77ffc58cc26f,d3189edb-738c-47b1-a130-ff5bafdf7a9b,BrowserStack,2,8cb14ef1-5434-4e55-a75d-a269d9a8128d,SoftwareDevelopment,1,,
07b70b2b-8bd7-4c85-bf24-8851e58fe062,0a42117d-03f3-413c-9a0c-c7265e64605e,Bird Eats Bug,2,7d3503cb-c277-4cbb-95d4-b75b8e29dc23,Other,1,,
0d7125c3-7a66-4474-ae66-13a05ffed8de,25366964-23e0-47d1-9b3b-a0786eedf28e,GitHub,2,39252591-6838-4dde-9035-bd0faeba5f3f,Other,1,,
